Country,City,Airport name,IATA
Australia,Daly Waters,Daly Waters Airport,DYW
Mayotte,Dzaoudzi,Dzaoudzi Pamandzi International Airport,DZA
China,Dazhou (Dachuan),Dazhou Jinya Airport,DZH
Kazakhstan,Zhezkazgan,Zhezkazgan National Airport,DZN
Uruguay,Durazno,Santa Bernardina International Airport,DZO
China,Dazu,Dazu Air Base,DZU
United States of America,Eagle,Eagle Airport,EAA
Yemen,Abs,Abs Airport,EAB
Vanuatu,Emae Island,Siwo Airport,EAE
Marshall Islands,Mejato Island,Elenak Airport,EAL
Saudi Arabia,Najran,Najran Domestic Airport,EAM
United States of America,Wheatland,Phifer Airfield,EAN
United States of America,Kearney,Kearney Regional Airport,EAR
Spain,Hondarribia,San Sebastián Airport,EAS
United States of America,Wenatchee,Pangborn Memorial Airport,EAT
United States of America,Eau Claire,Chippewa Valley Regional Airport,EAU
Italy,Campo nell'Elba (LI),Marina di Campo Airport,EBA
Uganda,Kampala,Entebbe International Airport,EBB
Sudan,El-Obeid,El-Obeid Airport,EBD
Colombia,El Bagre,El Bagre Airport,EBG
Algeria,El Bayadh,El Bayadh Airport,EBH
Denmark,Esbjerg,Esbjerg Airport,EBJ
Iraq,Arbil,Erbil International Airport,EBL
Tunisia,El Borma,El Borma Airport,EBM
Marshall Islands,Ebadon Island,Ebadon Airport,EBN
Marshall Islands,Ebon Atoll,Ebon Airport,EBO
United States of America,Webster City,Webster City Municipal Airport,EBS
France,Saint-Étienne/Bouthéon,Saint-Étienne-Bouthéon Airport,EBU
Cameroon,Ebolowa,Ebolowa Airport,EBW
United States of America,East Tawas,Iosco County Airport,ECA
United States of America,Elizabeth City,Elizabeth City Regional Airport & Coast Guard Air Station,ECG
Australia,,Echuca Airport,ECH
Nicaragua,Tola,Costa Esmeralda Airport,ECI
Cyprus,Tymbou (Kirklar),Nicosia (Lefkoşa) Ercan International Airport,ECN
Colombia,El Encanto,El Encanto Airport,ECO
United States of America,Panama City Beach,Northwest Florida Beaches International Airport,ECP
Colombia,El Charco,El Charco Airport,ECR
United States of America,Newcastle,Mondell Field,ECS
Spain,Madrid,Cuatro Vientos Airport,ECV
Sudan,Al Dabbah,Al Dabbah Airport,EDB
Australia,Ghan,Erldunda Airport,EDD
United States of America,Edenton,Northeastern Regional Airport,EDE
United States of America,Anchorage,Elmendorf Air Force Base,EDF
United Kingdom,Edinburgh,Edinburgh Airport,EDI
United States of America,El Dorado,Captain Jack Thomas El Dorado Airport,EDK
Kenya,Eldoret,Eldoret International Airport,EDL
France,La Roche-sur-Yon/Les Ajoncs,La Roche-sur-Yon Airport,EDM
Russia,Yedinka,Yedinka Airport,EDN
Turkey,Edremit,Balıkesir Koca Seyit Airport,EDO
Honduras,Erandique,Erandique Airport,EDQ
Australia,Pormpuraaw,Pormpuraaw Airport,EDR
United States of America,Edwards,Edwards Air Force Base,EDW
Brazil,Correia Pinto,Planalto Serrano Regional Airport,EEA
United States of America,Needles,Needles Airport,EED
United States of America,Eek,Eek Airport,EEK
United States of America,Keene,Dillant Hopkins Airport,EEN
Egypt,Berenice Troglodytica,Berenice International Airport / Banas Cape Air Base,EES
United States of America,Houston,Ellington Airport,EFD
Papua New Guinea,Efogi,Efogi Airport,EFG
United States of America,Newport,Northeast Kingdom International Airport,EFK
Greece,Kefallinia Island,Kefallinia Airport,EFL
United States of America,Jefferson,Jefferson Municipal Airport,EFW
Papua New Guinea,Engati,Engati Airstrip,EGA
France,Bergerac/Roumanière,Bergerac Dordogne Périgord Airport,EGC
United States of America,Eagle,Eagle County Regional Airport,EGE
Egypt,El Jora,El Jora Airport,EGH
United States of America,Crestview,Duke Field,EGI
Ethiopia,Negele Borana,Negele Airport,EGL
Solomon Islands,Sege,Sege Airport,EGM
Sudan,Geneina,Geneina Airport,EGN
Russia,Belgorod,Belgorod International Airport,EGO
United States of America,Eagle Pass,Maverick County Memorial International Airport,EGP
Iceland,Egilsstaðir,Egilsstaðir Airport,EGS
United States of America,Eagle River,Eagle River Union Airport,EGV
United States of America,Egegik,Egegik Airport,EGX
Argentina,El Bolson,El Bolson Airport,EHL
United States of America,Cape Newenham,Cape Newenham LRRS Airport,EHM
China,Ezhou,Ezhou Huahu Airport,EHU
Germany,Hörselberg-Hainich,Eisenach-Kindel Airport,EIB
Russia,Yeniseysk,Yeniseysk Airport,EIE
Australia,Einasleigh,Einasleigh Airport,EIH
Russia,Yeysk,Yeysk Airport,EIK
United States of America,Fairbanks,Eielson Air Force Base,EIL
Netherlands,Eindhoven,Eindhoven Airport,EIN
British Virgin Islands,Road Town,Terrance B. Lettsome International Airport,EIS
Israel,Sapir,Ein Yahav Airfield,EIY
Colombia,Barrancabermeja,Yariguíes Airport,EJA
Saudi Arabia,Al Wajh,Al Wajh Domestic Airport,EJH
China,Ejin Banner,Ejin Banner Taolai Airport,EJN
Marshall Islands,Enejit Island,Enejit Airport,EJT
United States of America,Eureka,Murray Field,EKA
Kazakhstan,Ekibastuz,Ekibastuz Airport,EKB
Australia,,Elkedra Airport,EKD
United States of America,Elkhart,Elkhart Municipal Airport,EKI
United States of America,Elkins,Elkins-Randolph County Regional Airport,EKN
United States of America,Elko,Elko Regional Airport,EKO
Russia,Shakhtyorsk,Shakhtyorsk Airport,EKS
Sweden,Eskilstuna,Eskilstuna Airport,EKT
United States of America,Elizabethtown,Addington Field / Elizabethtown Regional Airport,EKX
United States of America,Eagle Lake,Eagle Lake Airport,ELA
Colombia,El Banco,Las Flores Airport,ELB
Australia,Elcho Island,Elcho Island Airport,ELC
United States of America,El Dorado,South Arkansas Regional Airport at Goodwin Field,ELD
Panama,El Real de Santa María,EL Real Airport,ELE
Sudan,El Fasher,El Fasher Airport,ELF
Algeria,El Menia,El Golea Airport,ELG
Bahamas,North Eleuthera,North Eleuthera Airport,ELH
United States of America,Elim,Elim Airport,ELI
Colombia,Ruperto Polania,El Recreo Airport,ELJ
United States of America,Elk City,Elk City Regional Business Airport,ELK
South Africa,Ellisras,Ellisras Matimba Airport,ELL
United States of America,Elmira/Corning,Elmira Corning Regional Airport,ELM
United States of America,Ellensburg,Bowers Field,ELN
Argentina,El Dorado,El Dorado Airport,ELO
United States of America,El Paso,El Paso International Airport,ELP
Saudi Arabia,Buraidah,Gassim Airport,ELQ
Indonesia,Elelim,Elelim Airport,ELR
South Africa,East London,Ben Schoeman Airport,ELS
Egypt,At Tur,At Tur Airport,ELT
Algeria,Guemar,Guemar Airport,ELU
United States of America,Ely,Ely Airport Yelland Field,ELY
United States of America,Wellsville,Wellsville Municipal Airport - Tarantine Field,ELZ
United Kingdom,Nottingham,East Midlands Airport,EMA
Australia,Emerald,Emerald Airport,EMD
Germany,Emden,Emden Airport,EME
South Africa,Empangeni,Empangeni Airport,EMG
Papua New Guinea,Emirau Island,Emirau Airport,EMI
United States of America,Emmonak,Emmonak Airport,EMK
Switzerland,Emmen,Emmen Air Base,EML
United States of America,Kemmerer,Kemmerer Municipal Airport,EMM
Mauritania,Néma,Néma Airport,EMN
Papua New Guinea,Emo Mission,Emo River Airstrip,EMO
United States of America,Emporia,Emporia Municipal Airport,EMP
Papua New Guinea,Embessa,Embessa Airport,EMS
United States of America,El Monte,San Gabriel Valley Airport,EMT
Argentina,El Maiten,El Maiten Airport,EMX
Egypt,El Minya,El Minya Airport,EMY
United States of America,Kenai,Kenai Municipal Airport,ENA
Australia,Eneabba,Eneabba Airport,ENB
France,"Tomblaine, Meurthe-et-Moselle",Nancy-Essey Airport,ENC
United States of America,Enid,Vance Air Force Base,END
Indonesia,Ende,H. Hasan Aroeboesman (Ende) Airport,ENE
Finland,Enontekio,Enontekio Airport,ENF
China,Enshi (Enshi),Enshi Xujiaping Airport,ENH
Philippines,El Nido,El Nido Airport,ENI
Guatemala,El Naranjo,El Naranjo Airport,ENJ
United Kingdom,Enniskillen,Enniskillen/St Angelo Airport,ENK
United States of America,Centralia,Centralia Municipal Airport,ENL
United States of America,Nenana,Nenana Municipal Airport,ENN
Paraguay,Encarnación,Aeropuerto Internacional Tte. Amin Ayub González,ENO
Netherlands,Enschede,Twente Airport,ENS
Marshall Islands,Eniwetok Atoll,Eniwetok Airport,ENT
Nigeria,Enegu,Akanu Ibiam International Airport,ENU
United States of America,Wendover,Wendover Airport,ENV
United States of America,Kenosha,Kenosha Regional Airport,ENW
China,Yan'an (Baota),Yan'an Nanniwan Airport,ENY
Colombia,Medellín,Enrique Olaya Herrera Airport,EOH
United Kingdom,Eday,Eday Airport,EOI
United States of America,Keokuk,Keokuk Municipal Airport,EOK
Venezuela,Bolivar,El Dorado Airport,EOR
Venezuela,,Elorza Airport,EOZ
Argentina,El Palomar,El Palomar Airport,EPA
United States of America,Weeping Water,Browns Airport,EPG
United States of America,Ephrata,Ephrata Municipal Airport,EPH
France,"Juvaincourt, Vosges",Épinal-Mirecourt Airport,EPL
Australia,Esperance,Esperance Airport,EPR
Papua New Guinea,Eliptamin,Eliptamin Airport,EPT
Estonia,Pärnu,Pärnu Airport,EPU
Argentina,Esquel,Brigadier Antonio Parodi Airport,EQS
Somalia,Erigavo,Erigavo Airport,ERA
Australia,,Ernabella Airport,ERB
Turkey,Erzincan,Erzincan Airport,ERC
Ukraine,Berdyansk,Berdyansk Airport,ERD
Papua New Guinea,Erave,Erave Airport,ERE
Germany,Erfurt,Erfurt-Weimar Airport,ERF
Russia,Erbogachen,Yerbogachen Airport,ERG
Morocco,Errachidia,Moulay Ali Cherif Airport,ERH
United States of America,Erie,Erie International Tom Ridge Field,ERI
China,Erenhot,Erenhot Saiwusu International Airport,ERL
Brazil,Erechim,Erechim Airport,ERM
Brazil,Eirunepé,Eirunepé Airport,ERN
Australia,Elrose Mine,Elrose Airport,ERQ
United States of America,Errol,Errol Airport,ERR
Namibia,Windhoek,Eros Airport,ERS
Mongolia,Erdenet,Erdenet Airport,ERT
Papua New Guinea,Erume,Erume Airport,ERU
United States of America,Kerrville,Kerrville / Kerr County Airport at Louis Schreiner Field,ERV
Turkey,Erzurum,Erzurum International Airport,ERZ
Papua New Guinea,Esa'ala,Esa'ala Airport,ESA
Turkey,Ankara,Esenboğa International Airport,ESB
United States of America,Escanaba,Delta County Airport,ESC
United States of America,Eastsound,Orcas Island Airport,ESD
Mexico,Ensenada,Aeropuerto Internacional de Ensenada,ESE
United States of America,Alexandria,Esler Army Airfield / Esler Regional Airport,ESF
Paraguay,Mariscal Estigarribia,Aeropuerto Internacional Dr. Luis Maria Argaña,ESG
United Kingdom,"Brighton, East Sussex",Brighton City Airport,ESH
Turkey,,Eskişehir Air Base,ESK
Russia,Elista,Elista Airport,ESL
Ecuador,Tachina,Carlos Concha Torres International Airport,ESM
United States of America,Easton,Easton Airport / Newnam Field,ESN
United States of America,Espanola,Ohkay Owingeh Airport,ESO
Chile,El Salvador,Ricardo García Posada Airport,ESR
Germany,,Essen Mülheim Airport,ESS
United States of America,Estherville,Estherville Municipal Airport,EST
Morocco,Essaouira,Essaouira-Mogador Airport,ESU
United States of America,Easton,Easton State Airport,ESW
United States of America,West Bend,West Bend Municipal Airport,ETB
Australia,Etadunna,Etadunna Airport,ETD
Ethiopia,Metema,Metema Airport,ETE
Russia,Svetlaya,Svetlaya Airport,ETL
Israel,Eilat,Ramon International Airport,ETM
United States of America,Eastland,Eastland Municipal Airport,ETN
Ecuador,Santa Rosa,Santa Rosa - Artillery Colonel Victor Larrea International Airport,ETR
United States of America,Enterprise,Enterprise Municipal Airport,ETS
France,Goin,Metz-Nancy-Lorraine Airport,ETZ
Tonga,Eua Island,Kaufana Airport,EUA
Australia,,Eucla Airport,EUC
United States of America,Eureka,Eureka Airport,EUE
United States of America,Eufaula,Weedon Field,EUF
United States of America,Eugene,Mahlon Sweet Field,EUG
Germany,Neumünster,Neumünster Airport,EUM
Western Sahara,El Aaiún,Hassan I Airport,EUN
Colombia,Paratebueno,Paratebueno Airport,EUO
Philippines,San Jose,Evelio Javier Airport,EUQ
Caribbean Netherlands,Sint Eustatius,F. D. Roosevelt Airport,EUX
Australia,Eva Downs,Eva Downs Airport,EVD
Norway,Evenes,"Harstad/Narvik Airport, Evenes",EVE
Sweden,Sveg,Sveg Airport,EVG
Australia,,Evans Head Aerodrome,EVH
United States of America,Eveleth,Eveleth–Virginia Municipal Airport,EVM
Armenia,Yerevan,Zvartnots International Airport,EVN
United States of America,Evansville,Evansville Regional Airport,EVV
United States of America,Evanston,Evanston-Uinta County Airport-Burns Field,EVW
France,Évreux/Fauville,Évreux-Fauville (BA 105) Air Base,EVX
United States of America,New Bedford,New Bedford Regional Airport,EWB
Indonesia,Agats,Ewer Asmat Airport,EWE
Indonesia,Enarotali,Enarotali Airport,EWI
United States of America,Newton,Newton City-County Airport,EWK
United States of America,New Bern,Coastal Carolina Regional Airport,EWN
Republic of the Congo,Ewo,Ewo Airport,EWO
United States of America,Newark,Newark Liberty International Airport,EWR
Australia,,Exmouth Airport,EXM
United Kingdom,"Exeter, Devon",Exeter International Airport,EXT
Russia,,Beloyarskiy Airport,EYK
Mali,Yélimané,Yélimané Airport,EYL
Colombia,El Yopal,El Yopal Airport,EYP
United States of America,Yerington,Yerington Municipal Airport,EYR
Kenya,Eliye Springs,Eliye Springs Airport,EYS
United States of America,Key West,Key West International Airport,EYW
Argentina,Buenos Aires (Ezeiza),Minister Pistarini International Airport,EZE
Turkey,Elazığ,Elazığ Airport,EZS
Russia,,Berezovo Airport,EZV
Guinea,Faranah,Faranah Airport,FAA
United Kingdom,Farnborough,Farnborough Airport,FAB
French Polynesia,Faaite,Faaite Airport,FAC
Faroe Islands,Vágar,Vágar Airport,FAE
United States of America,Newport News (Fort Eustis),Felker Army Air Field,FAF
Iceland,Fagurhólsmýri,Fagurhólsmýri Airport,FAG
Afghanistan,Farah,Farah Airport,FAH
United States of America,Fairbanks,Fairbanks International Airport,FAI
United States of America,Farmington,Farmington Regional Airport,FAM
Portugal,Faro,Faro Airport,FAO
Papua New Guinea,Frieda River,Frieda River Airport,FAQ
United States of America,Fargo,Hector International Airport,FAR
Iceland,Fáskrúðsfjörður,Fáskrúðsfjörður Airport,FAS
United States of America,Fresno,Fresno Yosemite International Airport,FAT
Oman,Fahud,Fahud Airport,FAU
French Polynesia,,Fakarava Airport,FAV
United States of America,Fayetteville,Fayetteville Regional Airport - Grannis Field,FAY
Iran,Fasa,Fasa Airport,FAZ
Brazil,Fonte Boa,Fonte Boa Airport,FBA
Afghanistan,Fayzabad,Fayzabad Airport,FBD
Brazil,Francisco Beltrão,Paulo Abdala Airport,FBE
United States of America,Fort Bragg,Simmons Army Air Field,FBG
United States of America,Fairbanks,Ladd Army Airfield,FBK
United States of America,Faribault,Faribault Municipal Airport-Liz Wall Strohfus Field,FBL
Democratic Republic of the Congo,Lubumbashi,Lubumbashi International Airport,FBM
United States of America,Fort Bridger,Fort Bridger Airport,FBR
United States of America,Fairbury,Fairbury Municipal Airport,FBY
United States of America,Kalispell,Glacier Park International Airport,FCA
South Africa,Ficksburg,Ficksburg Sentraoes Airport,FCB
United States of America,Fresno,Fresno Chandler Executive Airport,FCH
United States of America,Minneapolis,Flying Cloud Airport,FCM
Germany,Wurster Nordseeküste,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,FCN
Italy,Rome,Rome–Fiumicino Leonardo da Vinci International Airport,FCO
United States of America,Fort Carson,Butts AAF (Fort Carson) Air Field,FCS
United States of America,Forrest City,Forrest City Municipal Airport,FCY
Colombia,Fundación,Fundación Airport,FDA
Norway,Førde,"Førde Airport, Bringeland",FDE
Martinique,Fort-de-France,Martinique Aimé Césaire International Airport,FDF
Germany,Friedrichshafen,Friedrichshafen Airport,FDH
United States of America,Frederick,Frederick Municipal Airport,FDK
Argentina,San Fernando,San Fernando Airport,FDO
United States of America,Frederick,Frederick Regional Airport,FDR
Democratic Republic of the Congo,Bandundu,Bandundu Airport,FDU
United States of America,Findlay,Findlay Airport,FDY
United Kingdom,Fetlar Island,Fetlar Airstrip,FEA
Nepal,Sanfebagar,Sanfebagar Airport,FEB
Brazil,Feira de Santana,João Durval Carneiro Airport,FEC
Uzbekistan,Fergana,Fergana International Airport,FEG
Brazil,Feijó,Feijó Airport,FEJ
Brazil,Fernando de Noronha,Fernando de Noronha Airport,FEN
United States of America,Freeport,Albertus Airport,FEP
United States of America,Fremont,Fremont Municipal Airport,FET
Morocco,Saïss,Fes Saïss International Airport,FEZ
United States of America,Kill Devil Hills,First Flight Airport,FFA
United Kingdom,Fairford,RAF Fairford,FFD
United States of America,Fairfield,Fairfield Municipal Airport,FFL
United States of America,Fergus Falls,Fergus Falls Municipal Airport - Einar Mickelson Field,FFM
United States of America,Dayton,Wright-Patterson Air Force Base,FFO
United States of America,Frankfort,Capital City Airport,FFT
Chile,Futaleufu,Futaleufú Airport,FFU
Mauritania,Fderik,Fderik Airport,FGD
Samoa,Apia,Fagali'i Airport,FGI
French Polynesia,Fangatau,Fangatau Airport,FGU
United States of America,Fort Huachuca / Sierra Vista,Sierra Vista Municipal Airport / Libby Army Air Field,FHU
French Polynesia,Fakahina,Fakahina Airport,FHZ
United States of America,Fishers Island,Elizabeth Field,FID
United Kingdom,Fair Isle,Fair Isle Airport,FIE
Guinea,Fria,Fria Airport,FIG
Democratic Republic of the Congo,Kinshasa,Ndjili International Airport,FIH
Australia,Finke,Finke Airport,FIK
United States of America,Fillmore,Fillmore Municipal Airport,FIL
Papua New Guinea,Buki,Finschhafen Airport,FIN
Australia,,Fitzroy Crossing Airport,FIZ
United Arab Emirates,Fujairah,Fujairah International Airport,FJR
Germany,Rheinmünster,Karlsruhe Baden-Baden Airport,FKB
Democratic Republic of the Congo,Kisangani,Bangoka International Airport,FKI
Japan,,Fukui Airport,FKJ
United States of America,Franklin,Venango Regional Airport,FKL
United States of America,Franklin,Franklin Regional Airport,FKN
Indonesia,Fakfak,Fakfak Airport,FKQ
Japan,Sukagawa,Fukushima Airport,FKS
Colombia,Florencia,Gustavo Artunduaga Paredes Airport,FLA
Brazil,Floriano,Cangapara Airport,FLB
United States of America,Fond du Lac,Fond du Lac County Airport,FLD
Germany,Flensburg,Flensburg-Schäferhaus Airport,FLF
United States of America,Flagstaff,Flagstaff Pulliam International Airport,FLG
United Kingdom,Flotta Isle,Flotta Isle Airstrip,FLH
Iceland,Flateyri,Holt Airport,FLI
United States of America,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,FLL
